periodo,product_id,trend,yearly
201701,20001,1211.635193128,-187.55919654062282
201702,20001,1222.7581818533838,-352.51934066848645
201703,20001,1232.8047522391525,265.8129005116031
201704,20001,1243.927740656928,-213.94718335642267
201705,20001,1254.6919228684626,114.85603336806719
201706,20001,1265.8149110099757,133.1174957811998
201707,20001,1276.579093231404,-278.8451063235706
201708,20001,1287.7020814342186,101.48668289240358
201709,20001,1298.8250697154936,-31.564521638102853
201710,20001,1309.5892517911093,395.57370722241063
201711,20001,1320.7122401109345,333.8136043948364
201712,20001,1331.476422145177,-162.03630356262985
201801,20001,1342.5994102575926,-215.88015694327186
201802,20001,1353.7223982349265,-319.99256316730555
201803,20001,1363.7689680209053,179.48804693921178
201804,20001,1374.8915836181013,-51.88092196648936
201805,20001,1385.6554048769603,91.42867069271348
201806,20001,1396.7745211374163,-137.35394296818555
201807,20001,1407.5326469863587,-14.615168403105898
201808,20001,1418.6455338964229,25.785314008630404
201809,20001,1429.7402775475207,43.01709288155553
201810,20001,1440.4555236662072,326.3823265015
201811,20001,1451.5006162302652,288.35330806688063
201812,20001,1462.1724754119036,-95.48856658325306
201901,20001,1473.1981775359764,-244.48065054741917
201902,20001,1484.2238624273548,-287.72611929246096
201903,20001,1494.17995977959,94.58344083060153
201904,20001,1505.202192492466,110.20385453661244
201905,20001,1515.8688693113784,63.34648697174568
201906,20001,1526.8911020242545,-404.7365550140883
201907,20001,1537.5577788431665,252.31806583992608
201908,20001,1548.5800115560426,-51.7639950701385
201909,20001,1559.6022442689186,116.77912588344913
201910,20001,1570.268921087831,255.73638239791748
201911,20001,1581.291153800707,244.23777929924182
201912,20001,1591.957830619619,-28.369280912998484
201701,20002,745.2795994842,-68.23447162771477
201702,20002,763.1284314062649,-217.31425389983104
201703,20002,779.2499570040488,47.93367174239818
201704,20002,797.0987889256736,-318.9728908205278
201705,20002,814.3718520701502,-31.090702950983555
201706,20002,832.2206839912368,42.80056380738677
201707,20002,849.4937471298011,-94.23631243575893
201708,20002,867.3425790457193,-145.9286123874397
201709,20002,885.191410953557,151.459311979173
201710,20002,902.4644740819137,9.631380745624597
201711,20002,920.3133059706144,46.79980550581598
201712,20002,937.5863690839305,120.3377024132591
201801,20002,955.4352009683994,-23.18551745284356
201802,20002,973.2840328409347,-220.14070497670104
201803,20002,989.4055584032247,-29.27342094650975
201804,20002,1007.2543902761598,-71.35484457521181
201805,20002,1024.5274533642316,-28.81889596978214
201806,20002,1042.3762851853774,-64.80092113353832
201807,20002,1059.6403791621794,-96.13322382699769
201808,20002,1077.4786849918037,-211.73375496422005
201809,20002,1095.3169907819236,-60.33136308255754
201810,20002,1112.5788956473618,290.9614785560663
201811,20002,1130.416064544718,420.29476820268735
201812,20002,1147.677136375472,-375.62979435848837
201901,20002,1165.508951131063,26.575996305486807
201902,20002,1183.3407658741785,-222.05434282312174
201903,20002,1199.4469211011865,-102.66686774749917
201904,20002,1217.2787358155556,177.10833105590615
201905,20002,1234.535330700429,-31.802129958458444
201906,20002,1252.3671454147984,-174.39080280218997
201907,20002,1269.6237402996717,-98.10259549630129
201908,20002,1287.455555014041,-277.93205887602136
201909,20002,1305.2873697284103,-265.8414885219366
201910,20002,1322.5439646132836,578.1508527865503
